SourceId,BiomeId,ItemId,MinCount,MaxCount,Probability,NaturalLoot,GuaranteeQuestIds
Big Stone1,,stone,8,12,1.0,,
Big Stone1,,copper ore,1,2,0.2,,
Big Stone1,rocky,stone,8,12,1.0,,
Big Stone1,rocky,copper ore,2,4,0.5,,
Big Stone1,rocky,iron_ore,1,2,0.3,,
Big Stone2,,stone,16,20,1.0,,
Big Stone2,,copper ore,1,3,0.3,,
Big Stone2,rocky,stone,16,20,1.0,,
Big Stone2,rocky,copper ore,3,6,0.6,,
Big Stone2,rocky,iron_ore,1,3,0.4,,
Stone,,stone,1,2,1.0,,
Stone,rocky,stone,2,3,1.0,,
Stone,desert,stone,1,2,1.0,,
Tree1,,wood,4,6,1.0,,
Tree2,,wood,10,15,1.0,,
GrownGrass,,grass,1,1,1.0,,
GrownGrass,,carrot_seed,1,1,0.05,,
IronNodeResource,,iron_ore,2,4,1.0,,
slime_king,,recipe_scroll_copper,1,1,0.35,,
slime_king,,recipe_scroll_iron,1,1,0.15,,
boar,,raw_meat,1,2,1.0,true,
slime,,slime_jelly,1,2,0.6,true,
TreasureChest,,copper ore,2,4,1.0,,
TreasureChest,,iron_ore,1,2,0.5,,
TreasureChest,,recipe_scroll_copper,1,1,0.25,,
slime_king,,slime_jelly,3,6,1.0,true,
slime_king,,large_slime_jelly,1,1,0.03,,302|312|322|332
slime_king_easy,,slime_jelly,2,4,1.0,true,
slime_king_easy,,large_slime_jelly,1,1,0.03,,302|312|322|332
slime_king_easy,,recipe_scroll_copper,1,1,0.25,,
slime_king_hard,,slime_jelly,6,10,1.0,true,
slime_king_hard,,large_slime_jelly,1,2,0.12,,302|312|322|332
slime_king_hard,,recipe_scroll_copper,1,1,0.60,,
slime_king_hard,,recipe_scroll_iron,1,1,0.35,,
slime_king_hard,,iron_ore,2,4,0.50,,
slime_king_extreme,,slime_jelly,12,20,1.0,true,
slime_king_extreme,,large_slime_jelly,2,3,0.35,,302|312|322|332
slime_king_extreme,,recipe_scroll_copper,1,1,1.0,,
slime_king_extreme,,recipe_scroll_iron,1,1,0.75,,
slime_king_extreme,,iron_ore,5,9,1.0,,
