MonsterId,Order,Pattern,MinPhase,MaxPhase,ClipRUID,Windup,Waves,Count,Radius,Range,Spacing,Interval,Spread,Speed,DamageMul,ProjectileModel,FxType,Cooldown,Disable
slime_king,1,LEAP,1,2,,,,,,,,,,,,,,,
slime_king,2,QUAKE,1,1,,1.2,2,,1.8,4.0,3.2,0.7,,,0.8,,Dust,,
slime_king,2,QUAKE,2,2,,1.0,3,,1.8,4.0,3.2,0.55,,,0.9,,Dust,,
stone_golem,1,LEAP,1,2,,,,,,,,,,,,,,,
stone_golem,2,RADIAL,1,1,,0.9,1,8,0.55,9,,0.5,,6.0,0.6,Projectile_RockShard,,,
stone_golem,2,RADIAL,2,2,,0.8,3,8,0.55,9,,0.45,,6.5,0.6,Projectile_RockShard,,,
stone_golem,3,ROAR,1,2,,2.4,1,,6.5,,,,,,1.3,,Nova,,
deu,1,THORNS,1,1,4a7d9f008b334c1187c087d6f5e5cdd3,1.0,5,,1.8,,,0.5,,,0.7,,Pillar,,
deu,1,THORNS,2,2,4a7d9f008b334c1187c087d6f5e5cdd3,0.9,7,,2.0,,,0.45,,,0.75,,Pillar,,
deu,2,LEAP,1,2,,,,,,,,,,,,,,,
deu,3,CHARGE,1,2,,,,,,,,,,,,,,,
snowman,1,BOULDER,1,1,bc47715d8e634067af5bf97b923a1c6f,1.0,1,,1.0,14,,0.8,,4.5,1.0,Projectile_Snowball,,,
snowman,1,BOULDER,2,2,bc47715d8e634067af5bf97b923a1c6f,0.9,3,,1.0,14,,0.7,,5.0,1.0,Projectile_Snowball,,,
snowman,2,FROST,1,1,,1.0,1,6,1.2,2.5,1.7,0.12,,,0.8,,Burst,,
snowman,2,FROST,2,2,,0.9,3,6,1.2,2.5,1.7,0.12,28,,0.85,,Burst,,
snowman,3,LEAP,1,2,,,,,,,,,,,,,,,
