MonsterId,DropChance,MinAmount,MaxAmount,DisplayName,IconRUID
slime,0.7,1,3,슬라임,50faf654ee5d479cb2958edce9feaef0
horn_mushroom,0.8,2,5,뿔버섯,574596d79f004965a293d2551343633f
boar,0.9,3,7,멧돼지,af64c62c1dcf427998c3c52f0a060fec
slime_king,1.0,10,20,슬라임킹,6401ef4c5ccb4269a5c97831fa8fd329
ribbon_pig,0.6,1,2,리본돼지,95ee32092238462dbdbe65591979bf18
orange_mushroom,0.75,2,4,주황버섯,ca3a6ed536d24949b79d3f7b430cb82a
stump,0.8,3,6,스텀프,f56c99756461437d9c2bfda85fd4093b
iron_hog,0.9,4,8,아이언호그,759e69bf58dc43ad9defed90b48b9048
stone_golem,1.0,20,35,스톤골렘,2e477c29e6f6411ead7d0462a50f52df
moredji,0.8,5,9,모래두지,af9af6bbc9fc4e6888bfc2b373452461
catus,0.8,5,9,카투스,1676b4bf2726447bb7e6d5c0a6f688bf
scorpion,0.85,6,11,스콜피온,3a08f067718d42f192d85fe5c9553175
bellamoa,0.8,5,9,벨라모아,bf29803a9a7342f8911706a37593dfb6
deu,1.0,35,55,데우,a0fa0c0915a64041943e08c6a38e9db8
jr_yeti,0.8,6,12,주니어 예티,88d193963ece41cf9ccf049694539708
pepe,0.75,5,10,페페,bf8942f8b9c14cd0a54c6e0145846111
white_fang,0.85,7,14,화이트팽,1ba6793d996840a5b2ead8db5f4a0f95
yeti,0.9,10,18,예티,cd1951dafaa0467dbb1af4803b612292
snowman,1.0,50,80,스노우맨,8169f13153d74776a3ed9791d4ccc746
