SkillId,Name,Cooldown,DamageMultiplier,StaminaCost,EffectRUID,IconRUID,SoundRUID,Description,Type,ParentSkillId,RequiredLevel,UnlockAchievementId,MaxLevel,SPCost,DamagePerLevel,CooldownPerLevel,TreeRow,TreeCol,PassiveStat,PassiveValuePerLevel,ParentRequiredLevel,HitEffectRUID,EffectOffset,EffectScale,CastAction,ConsumeItem,ConsumeCount,ProjectileRUID,UnlockOwnedItem,DamageModel,SkillPower,RequireEquippedItem,HitEffectScale,JobId,JobName,ManaCost,UnlockQuestId,ProjectileCount,SpreadDegrees,ProjectileSpeed,ProjectileLife,ProjectileSize,PierceCount,SplashSize,SplashMultiplier,AreaSize,AreaReach,Duration,TickInterval,Status,StatusDuration,StatusValue,StatusMaxStacks,ComboStatus,ComboMultiplier,ConsumeCombo,PassiveStat2,PassiveValue2,PassiveItem,HealPerTick,ImpactOnly,GrowProjectile
power_strike,파워 스트라이크,1.2,1.5,8,522793cef4ff4b79bdf73b9eda9386f8,5c61ff8df1544c05a200e598ea9164ce,1a0b41d7b3ad476eb20fd33219967661,"""전방에 강력한 일격을 가합니다. 무기 공격력에 비례합니다.""",Melee,,1,1001,5,1,0.3,-0.05,1,1,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.5,2.0,swingO2,,,,,Physical,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fireball,매직 클로,5.0,2.2,18,cec1e8c25553408993b680b46baf1c36,f3fcac2d460041b288cc1973caaaf30f,ffa11f4087b9479db85902cc525ffa12,"""전방으로 마법 발톱을 발사합니다. 마법 공격력에 비례합니다.""",Projectile,power_strike,3,,5,1,0.4,-0.3,2,1,,,3,b45c1f472d2d447494567641b3d7e765,1.2,2.0,shoot1,,,983a41e810e44300a4fe51ead9cb1615,,Magic,8,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dash,플래시 점프,3.0,1.0,15,86500681cfad4e8488cf4ba9376fe801,e7b7455d8b7343bdaeb0e92bb9fbbda5,d6f202c516fb4c1fbe51edddfa9e5dfb,"""바라보는 방향으로 짧게 도약합니다. 경로의 적에게 마법 피해를 줍니다.""",Dash,,2,1002,3,1,0.2,-0.3,1,2,,,,6c691c6d80724c7f966326006e210fcc,0.0,2.0,,,,,,Magic,8,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earth_shatter,슬래시 블러스트,15.0,4.5,40,4a968bf7bc5f41f788b49e61557ce627,1dc02c9673284efb94da9c86e7414eeb,5ff81e348b9547bea7998b339c21f289,"""주변에 강력한 참격을 가합니다. 무기 공격력에 비례합니다.""",Ultimate,fireball,5,1004,3,2,1.0,-1.0,3,1,,,3,11453a10e5374d9f95f226990c9d7b30,0.0,2.0,swingT2,,,,,Physical,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swift_gather,신속 채집,0,0,0,,,,"""채집 스윙 쿨다운을 레벨당 0.08초 줄입니다. 패시브.""",Passive,,2,1002,5,1,0,0,1,3,MineCooldown,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mine_power,강력 채집,0,0,0,,,,"""채집 타격 위력이 레벨당 +1 증가합니다. 패시브.""",Passive,swift_gather,4,1005,3,2,0,0,2,3,MinePower,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand_axe_throw,주먹도끼 던지기,0.8,1.5,4,522793cef4ff4b79bdf73b9eda9386f8,57345d4aa6a640419af19e340c29940f,cc4775e4fe504321b1b42e7427cca089,주먹도끼를 들고 1개를 던져 큰 피해를 줍니다. 캐릭터 공격력과 함께 커집니다.,Projectile,,1,1006,5,1,0.3,0,2,2,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.2,2.0,swingO1,Hand Axe,1,thumbnail://384de1d5a70747a4b356484cf2753b5f,Hand Axe,Throw,16,Hand Axe,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigantic_rock,기간틱 락,8,2.2,12,522793cef4ff4b79bdf73b9eda9386f8,57345d4aa6a640419af19e340c29940f,cc4775e4fe504321b1b42e7427cca089,주먹도끼 1개와 MP로 거석을 던집니다. 비행 중 커지며 최대 5마리를 관통하고 밀어냅니다. 끝에서 지진파가 터집니다.,Projectile,hand_axe_throw,5,,3,2,0.4,0,3,2,,,3,34cee7428d694e3a91e8a4aca8dd04ac,1.2,2.0,swingO1,Hand Axe,1,thumbnail://384de1d5a70747a4b356484cf2753b5f,,Throw,16,Hand Axe,1.0,,,18,,,,7,1.4,4,5,7,0.8,,,,,,,,,,,,,,,,,true
shatter_scatter,쇄석 흩뿌리기,5,0.7,10,522793cef4ff4b79bdf73b9eda9386f8,57345d4aa6a640419af19e340c29940f,cc4775e4fe504321b1b42e7427cca089,주먹도끼 1개와 MP로 5개의 파편을 부채꼴로 흩뿌립니다. 가까이 붙으면 여러 파편이 같은 적에게 적중합니다.,Projectile,hand_axe_throw,5,,3,2,0.15,0,3,3,,,3,34cee7428d694e3a91e8a4aca8dd04ac,1.2,2.0,swingO1,Hand Axe,1,thumbnail://384de1d5a70747a4b356484cf2753b5f,,Throw,16,Hand Axe,1.0,,,12,,5,50,8,0.65,0.8,,,,,,,,,,,,,,,,,,,,
hunter_trap,사냥꾼의 덫,10,0.5,8,522793cef4ff4b79bdf73b9eda9386f8,5c61ff8df1544c05a200e598ea9164ce,1a0b41d7b3ad476eb20fd33219967661,앞에 8초 동안 덫을 설치합니다. 처음 밟은 무리를 2초 속박하고 방어력을 20% 낮춥니다. 묶인 적에게 투척 피해가 25% 증가합니다.,Trap,,4,,3,1,0.15,-0.05,1,2,,,,34cee7428d694e3a91e8a4aca8dd04ac,1.5,2.0,swingO2,,,,,Physical,0,,1.0,trapper,트래퍼,6,,,,,,,,,,3,2,8,0.25,Root,2,0.2,,,,,,,,,,
