Id,Description,CondEnum,CondArg,CondExtra,Value,CountMode,Disable
101,풀 채집,Gather,Grass,,3,Action,
102,주먹도끼 제작,Craft,Hand Axe,,1,State,
103,나무 채집,Gather,Wood,,5,Action,
104,곡괭이 제작,Craft,Stone Pickaxe,,1,State,
105,돌 채광,Gather,Stone,,3,Action,
106,나무 상자 설치,Place,Wooden Chest,,1,State,
107,포탈 이동,Warp,,,1,Action,
201,풀 채집(조사),Gather,Grass,,5,Have,
108,주먹도끼 던지기를 배우시오,LearnSkill,hand_axe_throw,,1,State,
202,낚싯대 제작,Craft,Fishing Rod,,1,State,
203,땔감 나무,Gather,Wood,,10,Have,
204,받침석 돌,Gather,Stone,,10,Have,
205,흙 벌판 이동,Warp,hunt01,,1,Action,
211,슬라임 퇴치,Kill,slime,,5,Action,
212,슬라임 젤리 표본,Gather,Slime Jelly,,3,Have,
213,구리 광석,Gather,Copper Ore,,10,Have,
214,구리 주괴 제련,Smelt,Copper Bar,,2,Action,
215,구리 곡괭이 제작,Craft,Copper Pickaxe,,1,State,
216,멧돼지 퇴치,Kill,boar,,3,Action,
301,풀 10개 채집,Gather,Grass,,10,Have,
302,멧돼지 3마리 처치,Kill,boar,,3,Action,
302,슬라임킹 대형 젤리 확보,Gather,Large Slime Jelly,,1,Have,
303,사냥꾼의 덫 배우기,LearnSkill,hunter_trap,,1,State,
303,슬라임 5마리 처치,Kill,slime,,5,Action,
311,나무 10개 채집,Gather,Wood,,10,Have,
312,구리 광석 5개 채광,Gather,Copper Ore,,5,Action,
312,슬라임킹 대형 젤리 확보,Gather,Large Slime Jelly,,1,Have,
313,갑주 파쇄타 배우기,LearnSkill,armor_break,,1,State,
313,슬라임 5마리 처치,Kill,slime,,5,Action,
321,슬라임 젤리 3개 수집,Gather,Slime Jelly,,3,Have,
322,슬라임 5마리 처치,Kill,slime,,5,Action,
322,슬라임킹 대형 젤리 확보,Gather,Large Slime Jelly,,1,Have,
323,산성 포션 배우기,LearnSkill,acid_potion,,1,State,
323,슬라임 5마리 처치,Kill,slime,,5,Action,
331,부드러운 풀 10개 채집,Gather,Grass,,10,Have,
332,사나워진 멧돼지 3마리 처치,Kill,boar,,3,Action,
332,슬라임킹 대형 젤리 확보,Gather,Large Slime Jelly,,1,Have,
333,야생의 호루라기 배우기,LearnSkill,wild_whistle,,1,State,
333,슬라임 5마리 처치,Kill,slime,,5,Action,
217,슬라임킹 처치,Kill,slime_king,,1,Action,
227,스톤골렘 처치,Kill,stone_golem,,1,Action,
236,데우 처치,Kill,deu,,1,Action,
246,스노우맨 처치,Kill,snowman,,1,Action,
