BossId,DifficultyId,DisplayName,Order,EntryLevel,HpScale,DefenseScale,DamageScale,SkillIntervalScale,ReactionScale,DropSourceId,CoinReward,Disable
slime_king,easy,EASY,1,4,0.6,0.8,0.7,1.35,1.3,slime_king_easy,30,
slime_king,normal,NORMAL,2,6,1.0,1.0,1.0,1.0,1.0,slime_king,60,
slime_king,hard,HARD,3,10,2.4,1.4,1.5,0.72,0.85,slime_king_hard,150,
slime_king,extreme,EXTREME,4,15,5.0,1.8,2.2,0.55,0.7,slime_king_extreme,400,
stone_golem,easy,EASY,1,8,0.6,0.8,0.7,1.35,1.3,stone_golem,50,
stone_golem,normal,NORMAL,2,10,1.0,1.0,1.0,1.0,1.0,stone_golem,90,
stone_golem,hard,HARD,3,14,2.4,1.4,1.5,0.72,0.85,stone_golem,230,
stone_golem,extreme,EXTREME,4,19,5.0,1.8,2.2,0.55,0.7,stone_golem,600,
deu,easy,EASY,1,12,0.6,0.8,0.7,1.35,1.3,deu,60,
deu,normal,NORMAL,2,14,1.0,1.0,1.0,1.0,1.0,deu,120,
deu,hard,HARD,3,18,2.4,1.4,1.5,0.72,0.85,deu,300,
deu,extreme,EXTREME,4,23,5.0,1.8,2.2,0.55,0.7,deu,800,
snowman,easy,EASY,1,16,0.6,0.8,0.7,1.35,1.3,snowman,80,
snowman,normal,NORMAL,2,18,1.0,1.0,1.0,1.0,1.0,snowman,150,
snowman,hard,HARD,3,22,2.4,1.4,1.5,0.72,0.85,snowman,380,
snowman,extreme,EXTREME,4,27,5.0,1.8,2.2,0.55,0.7,snowman,1000,
