Ruid,Category,Dname,NameKo,NameEn,ColorHex,GroupId
d9e9948624a54255b079df8dba096f47,coat,coat-541,옐로우 프릴 슬리브리스,,#eeac19,coat:757587b9bf92
8f09fb7b32ff432cafa221ba0071f6ea,weapon,onehandedweapon-1820,아이언 봄버,,,
ad3ef3c5834f4aa2803d6719bb7ea6e7,twohandweapon,twohandedweapon-1150,메이플 크로스보우,,,
36bc66446c9b4f7e9f93ec5815244c76,face,face-5580,하트 뿅뿅 얼굴,,,face:ab357feeec1a
6c34b3524cd94dc2a8f77b85df07c8c6,face,face-7761,,Glassy-Eyed Face,#6a6061,
590594b3a4ab4290917ba01a25794dbd,earaccessory,earaccessory-203,,Lv. 2 Eluna Earrings (ATT & M. ATT),,
92735bc2d4f340ae9a0b60f619f104c9,hair,hair-3518,파란색 포마드 헤어,,#408cb0,hair:533149367b14
b8de29df5afe4d4ab4c7a2b270c6cac0,faceaccessory,faceaccessory-289,세일러 마스크,,,
97ff0a13054846d7ae27500b53e1c459,weapon,onehandedweapon-1043,우트가르드 체인,,,
f82cfa798c464287b4d7e759108fbb7c,coat,coat-611,옥토퍼스 티셔츠,,#f2d519,coat:6e5fa4467834
72a25b5244ae48f89eac180ef8626168,hair,hair-6732,빨간색 엘라 헤어,,#e16895,hair:f6b37ff8cbc2
51718e4dcc774a64990dd376020a96e4,face,face-7323,,Asha Face,#1ca69f,face:85d5d05004a7
c1372d54dbec4805bbca1d42b7de464c,hair,hair-9347,노란색 듀얼블레이드 헤어,,#a18647,hair:84d96d4d75c2
82806a1a0e38483498a9720269081851,face,face-1785,엘윈 얼굴,,#7e3fd3,face:0578e1abfd0b
994ec2a0733a4afca7426dd97f69fd76,face,face-3824,근엄한 얼굴,,#b9559b,face:da432cd389f6
da6b9469f2994b5f8af45c0216cba3a7,hair,hair-12348,,Kimono Up-do (M),#df7420,hair:9e47dbe4b07b
ee742ca9ff42446087c5f8edae38155f,hair,hair-7287,파란색 문스톤 헤어,,#8d81c6,hair:4ab4090e0bad
4a69bf4897df4280809243dc36f59d2f,face,face-7217,,Colorful Pupil,#5751f6,face:2d275ddec803
2f3edd419ae940c49e5546d0e32e2d45,face,face-6718,,Coy Face,#1775ea,face:146051016677
a705bb870d4d421595bcace2280d8360,hair,hair-4026,주황색 크림 와일드헤어,,#bf570b,hair:491fbd3d455a
eee03fbf39b54905a346964862b696ac,hair,hair-12614,,Relax Hair,#6198cb,hair:478dc13448cc
ed3a154564814a4a9c7c74008caba332,coat,coat-581,아이보리 숄더메일,,#a59173,coat:c24f9b61b5c4
ae49fdc619664465abee18c3edec9d47,twohandweapon,twohandedweapon-2037,,VIP Two-handed Axe,,
f2a8dbdc2a1b4aabbdf6d8e4b17d6326,faceaccessory,faceaccessory-383,블러드 마스크,,,
969d686a14434ef7a7420a04a7d6859f,face,face-2045,엘프왕 얼굴,,#a442ac,face:c6beff1cae1e
6cbb28b553524b388336341b8055fe47,cap,cap-3035,,Arctic Hood,#223a3b,
7b3575a6c009401693cb54186251fa8a,hair,hair-2989,빨간색 스프링 웨이브,,#ac2827,hair:08d05e7c55c1
53431e1718d74dbaa35bb8f8c36e1ffd,hair,hair-1998,,not-found,,hair:39b915420c9c
471a733d0f094b409cea578fd95f3230,hair,hair-1713,빨간색 소라고둥 헤어,,#cc3a5f,hair:52c0b6ae616d
8787e0566474485a9acab8e889bbc4fa,face,face-3784,아기사슴 얼굴,,,face:2468ac344ee8
72eb7f00a3884d2c80810d16bfc1e559,glove,glove-202,앤티크 루트 글러브,,#e2c54e,
e6f6a28198634dbd91ce562f956b34f6,glove,glove-410,배틀메이지 글러브,,#988051,
b83f426ebf0b4c39a98da3df2488d90d,longcoat,longcoat-994,황금갑옷,,#802603,
da5158b91037486f9a45e2202642ff33,cape,cape-939,,Gear Wing,#942a22,
b06fb8b6630441bb845a620624d5f1c0,longcoat,longcoat-949,낡은 하이레프 제복,,#5c3539,
d6245ce861cb41d68997a94371a669b0,eyeaccessory,eyeaccessory-170,어둠의 추격자 안대,,,
1c542b73f31e403fb46cc09536103dee,longcoat,longcoat-162,사령술사,,#5e5641,
02426cc639544da78216f3afba1cc6e3,cap,cap-33,블러드 루크,,#780505,cap:47522fb6f4ba
4785db6075db419c97cc35ad6a3f1ceb,earaccessory,earaccessory-197,,Darkness Earrings 2,,
19ec744f796c4d69b207dfb5f6672d2b,twohandweapon,twohandedweapon-51,슈팅 스타,,,
ed7e934ddff84600b93ea25c782973dc,hair,hair-5768,파란색 리본 웨이브 헤어,,#58619b,hair:99a21ddc51c5
0e51780ce08a4a279f2031e1e63e3822,face,face-6173,,Distant Gaze,#646464,face:1162f3941225
32a7b93c3b904dacad737f8cfc11539b,longcoat,longcoat-2165,,Night Troupe Pirate Outfit (7 Day),#6a593d,longcoat:12601db2eeed
46d3d243c8104ee6831d54184602cdf1,cap,cap-2005,포도알 캡,,#0e0225,
4c1833c04b6f484f9af1faacd85cf447,face,face-7246,,School President Face,#b23013,face:a013bd931e14
5556fc0a221a48a7952df084f9077e8f,face,face-4916,무심한 얼굴,,#666689,face:ea4686148a54
6ada58ac393941c5a57553cc9da1daa7,face,face-7736,,Pout Pout Face,#457f09,face:a97a37fb28b5
c884231c08e9460db324bd7566dd72c6,hair,hair-4855,빨간색 상큼발랄 양갈래 헤어,,#ce433e,hair:1b5ed0344658
4788557f48584d03a6d57231708f16c8,shoes,shoes-233,오딜 토슈즈,,#051419,
7a2504fc51b24fa29c7fe4e231b87efa,hair,hair-11055,,Bed Head Hair,#b1d250,hair:c99ce4554520
a067e5118c44440eb7f3a173cf4eddbd,cape,cape-713,방독면 망토,,#585b11,
a4df8118a49446c4afb618ded30778a3,face,face-2230,으앙 얼굴,,#717171,face:182d2c1055ca
8d14b596fe854ddcb2cf8f9d12d73a08,hair,hair-3409,갈색 쁘띠 웨이브,,#a1661a,hair:6fac4f4b6186
6ecedd99426e48dfa688dc17d2267a85,hair,hair-6715,검은색 무결 헤어,,#aa94aa,hair:4d9852b22956
37a3183d748940199c46fb25fb55b952,hair,hair-10202,,Alora Hair,#6f6f6f,hair:24b03a1bcce6
19c571cca97b4c839e97fd170e501a8f,face,face-359,여자얼굴20,,#7f7f7f,face:885440d33353
5a56bff6852749e2ac56ec840aceffc6,hair,hair-8584,갈색 살랑 헤어,,#a17c76,hair:da1d0311f104
6a022b12e7cb499bae191f7bf31c5747,hair,hair-2529,빨간색 이리나 헤어,,#bd1414,hair:df76a8a9ec30
d60c0286255a474f972d15f5086062cc,hair,hair-7183,검은색 시크릿 투톤 헤어,,#6a7c9f,hair:08aa723b0ae7
b67aba46602b430ca058492ff443655d,face,face-5720,눈시울 얼굴,,,face:ab06035f3021
f8347e2539d84e6bbae80b88abe9a31b,hair,hair-12746,,Mohawk Style Hair,#5f5f7d,hair:d332203f4103
ea1c10cc92c7405d943798be40164a02,coat,coat-570,딸기셔츠,,#ea7578,
6c1d24ddcaa84ce78800841f3de71e16,face,face-1470,숲의 요정 얼굴,,#bd774b,face:eb2d4c98cf0b
9082212f5d6042bba5aa87ddc9e3d1c8,hair,hair-11351,,Black Leafa's Hair,,hair:dd22ce1fc369
0819c4a76ed14e3783a7dadf057a1c67,cap,cap-73,귀마개와 니트방울모자,,#511237,
938801d3f2f6467eb77d8bcae8c9b29c,face,face-2009,빠밤 얼굴,,#a90b21,face:cfd003615825
c0c37c6fa432435abb5c9a065dea14f6,cap,cap-1459,민트 찹쌀아이스,,#a3bcb0,cap:2f2c8825f574
a455587120a34efabe3974bd79c94ead,hair,hair-11624,,Red New Mohican Hair,#c90700,hair:3a6e69c375ea
7939648f9af74b49a004f1ca7756f3c1,face,face-7986,,Saucy Face,#5f5154,
3aaa8ba5f36d45fe84687c0ee7827548,face,face-6932,,Petulant Face,#90b82d,face:306285c7f3b2
d76595b0cd304defb08bf899ffd62c54,face,face-2941,총명한 얼굴,,#aa6131,face:43dcb29e4b51
a62e40ee6d3b4d4e86d0dc4731120173,twohandweapon,twohandedweapon-298,핼파스 블러디미스트,,,
715b3f2751274a9d9e260d52f3ab505e,longcoat,longcoat-2389,,Explorer Dress,#c58a65,
118b5fb566ef4246b5a7882f6357c28e,face,face-6222,,Child's Adorable Face,#984c21,face:d118aba1430e
1abba3c2031e4ccfbd79c1028debcad7,twohandweapon,twohandedweapon-557,크롬,,,
7f052ef2b83344018df162685cdde0a5,hair,hair-3069,검은색 루시드 헤어,,#5c4c63,hair:b0e5663ac7e7
797b129ab4b24c14913901424ca861be,face,face-1654,용감한 얼굴,,#8c8a8a,face:b6d3ee759288
f93fb757b3f24adbb575edd4e1e7d71d,face,face-10081,,Demure Face,#08c9b8,face:99dec0bea437
994359ba7d6c46759305d947f27686e0,face,face-8524,,Clamped Mouth Face,#6c270f,face:be1ad7e890d2
b1e9618b768d4d8da6391eddf2357966,hair,hair-4322,노란색 네온 샤기컷,,#906f00,
4052ced1daa24e389ed9a5c49c14e6a3,hair,hair-10300,,White Mega Layered Hair,#a6a6a6,hair:428032c87612
3c8475de397f4e08a856e5ba98c63f95,coat,coat-160,퍼플 엘소르,,#743c93,coat:30d7cc0fa686
338ea1cb4219419395fa40f6d8a61646,hair,hair-1278,주황색 샤이보이 헤어,,#e07410,hair:422fc1f348ed
05671bf1e35f4057a74f4cd84505c248,weapon,onehandedweapon-6,스칼렛 엔젤릭슈터,,,
7a22a143a9c146e3be36af717656dc7c,face,face-8003,,Takeno Konoko Face,#04afbd,face:2e4a8b4a881d
cff005cb4fd04c7b87693be84992e88e,glove,glove-374,블러드 엠페러,,#d90000,glove:1cfee41dca60
4bbe455a836b4852966bbd2f00d63a81,hair,hair-8088,보라색 피크닉 헤어,,#b386b6,hair:ded32e4f6656
03b6ef08b98a40dcb39b5f1449344b59,cap,cap-2609,,Hilla's Hairpin,#2b4f5f,
d26f83d1d1c04569982a5ba7298812f5,cap,cap-2335,설야의 어둠,,#06060b,
a918d686f6a64bbabf73a8e660a11e79,hair,hair-4089,빨간색 리본송이 헤어,,,hair:baaa82b4bdcf
e1561ebf6a8a4a3aba1c6150d0967760,weapon,onehandedweapon-1385,모던스튬,,,
e8fdeee85de145d6837246688e5f9727,face,face-9813,,Wild Face,#060006,
e6ff0ea602e043f48a7e231ed4f95daf,pants,pants-471,블루 스키니진,,#0c4468,pants:e0756be4c9aa
6238fe875ad74803b76842082b035043,longcoat,longcoat-517,블러드 데빌즈 로브,,#d30200,longcoat:e6e26e4554d8
ab6714d78d4645a38056abd43952b0c4,face,face-3857,사슴눈 얼굴,,,face:a9b4be18e2f7
b319760e0cb94554b153ae3d305b4f78,twohandweapon,twohandedweapon-2395,,,,
957f5ce32fdd41ccbbdf2dff7ea79a54,cap,cap-1160,브라운 필퍼,,#8f7125,cap:1a3a1d95c577
86e93c38f98644ca9111345a2b62a2bd,cap,cap-3149,,Boyfriend Hat,#003385,
3c09c051e690490aa967333621159ebe,weapon,onehandedweapon-78,메이플 이올렛 칸자르,,,
6741adbf7b65483aa7a8c0b7d2143460,hair,hair-2454,검은색 디스코팡팡 헤어,,#4c4c4c,hair:c5852b921bb2
d0f6e2d308f64d75a120f3b4c38f04ea,hair,hair-5039,보라색 도토리 헤어,,#a832df,hair:a9157ab3d556
9a3854d3c61c4eea9d269dbffd8c6995,cap,cap-3247,,Pure White Vow Crown,#4f649d,
655eaf88d3d940c99d8bbaddd3d9179e,faceaccessory,faceaccessory-142,가죽 마스크,,,
bcac9fb9e62d47d8869e53fdb77b8d0e,face,face-5765,미스티 얼굴,,#5a7fca,face:250522ffcd89
abe4a32a666644798164cb6798a3ee72,hair,hair-4154,보라색 꼬망스 헤어,,#6e3fb4,hair:4dcb993a0457
d69e42c6f4524ae5b16efed5b8475cba,hair,hair-5180,주황색 요정여왕 티타니아 헤어,,#eea487,hair:215c1ed645ac
8dc4817bb99e47cb865f539f542d97ec,hair,hair-9057,검은색 펄리 헤어,,#463f60,hair:a3225413eb96
db932fa18c66415fa2b71b7696fdede5,hair,hair-5299,주황색 노블레스 헤어,,#ca7f3b,hair:9b1cb802240b
e8ee9486233f46ca83d577932b2b0858,longcoat,longcoat-2799,,Nya-ong's Long Hood T-shirt,#bc416d,
24939dc0de5143cca7fc4d768fa6a5c6,face,face-503,울망 얼굴,,#42d6d1,face:d9e870d01c0c
564315580814488e915043b1d8cf9ea5,face,face-7398,,Suspicious Smile Face,#bababa,face:e67f4ecfcaa2
08f616ff6d73477bb058887a64ac2ca7,hair,hair-220,노란색 아란 머리,,#f9c302,hair:abd46419bef5
92357bf30d424d36a64c70bb9e5e8667,face,face-1976,단정한 얼굴,,#68606a,face:d075607bab9b
ffc71255e06340a7bc378a7689129a63,shoes,shoes-942,베이지 리넥스슈즈,,#bd812a,shoes:90d5e1e3ba45
d3fbd276ef5b4cfdbfb5986107db87a5,weapon,onehandedweapon-1323,블랜드 엣지,,,
231bead8adb142b89e141849a235788c,hair,hair-892,초록색 아프로,,#3ea32c,hair:97b991fd2e82
2207fd055cc241968825d0bbcb851ac2,weapon,onehandedweapon-2097,냉동 상어,,,
96e653b3f7a34dcdb09d6e869aa425e6,hair,hair-8979,보라색 러블 헤어,,#7265aa,hair:86a3d3f64357
743e6c78f2c943048d56e00cde61bec6,face,face-7904,,Sapphire Heartbreaker Face,#05d0cf,face:ff1f2dd5b81e
0263086aa4874b7fb2ccf04300f64389,longcoat,longcoat-2001,,Red Phoenix Toga,#841915,
b92582e7411f4218a2c8a20be996e767,cap,cap-1393,핑크 도트 헤어밴드,,#b12066,
072af8c9d31e42bc998b412c9b6cb4e1,face,face-6066,,Solaria Face,#24a1cb,face:751625200ecc
